Locality,Municipality,Population(December 31th, 2017),Land area(hectare),Population density(inv./km²),Locality code,Latitude,Longitude
Bjuv,Bjuvs kommun,10 970,1 024,1 071,3352
Bjärlöv,Kristianstads kommun,210,69,304,3354
Bjärnum,Hässleholms kommun,2 813,434,648,2816
Bjärred,Lomma kommun,9 982,507,1 969,3356
Bjärsjölagård,Sjöbo kommun,363,74,491,3360
Bjästa,Örnsköldsviks kommun,1 878,240,783,7424
Björbo,Gagnefs kommun,658,193,341,6428
Björboholm,Lerums kommun,1 094,235,466,4732
Björke,Gävle kommun,651,141,462,7028
Björketorp,Marks kommun,535,100,535,4736
Björklinge,Uppsala kommun,3 368,304,1 108,0512
Björkskatan,Luleå kommun,4 396,154,2 855,8538
Björktorp och Sanda,Strängnäs kommun,455,170,268,0722
Björkvik,Katrineholms kommun,459,119,386,0720
Björkö,Öckerö kommun,1 491,103,1 448,4304
Björköby,Vetlanda kommun,321,82,391,1420
Björlanda och Torslanda,Göteborgs kommun,23 548,1 936,1 216,4302
Björna,Örnsköldsviks kommun,438,73,600,7428
Björneborg,Kristinehamns kommun,1 299,144,902,5612
Björnlunda,Gnesta kommun,845,116,728,0724
Björnås,Åstorps kommun,826,99,834,2810
Björnänge,Åre kommun,714,375,190,7810
Björsäter,Åtvidabergs kommun,401,73,549,1024
Blackstalund,Uppsala kommun,219,67,327,0650
Bleket,Tjörns kommun,409,116,353,4308
Blentarp,Sjöbo kommun,1 484,254,584,3364
Blidsberg,Ulricehamns kommun,559,114,490,4740
Blidö,Norrtälje kommun,242,496,49,0126
Blixbo,Falu kommun,334,128,261,6430
Blombacka,Karlstads kommun,199,99,201,5616
Blomstermåla,Mönsterås kommun,2 423,379,639,2120
Blåsmark,Piteå kommun,296,57,519,8540
Blötberget,Ludvika kommun,278,57,488,6432
Bockara,Oskarshamns kommun,365,101,361,2124
Boda,Rättviks kommun,531,288,184,6436
Bodafors,Nässjö kommun,1 992,231,862,1424
Boden,Bodens kommun,16 969,1 402,1 210,8544
Boliden,Skellefteå kommun,1 714,142,1 207,8132
Bollebygd,Bollebygds kommun,4 185,336,1 246,4744
Bollnäs,Bollnäs kommun,14 050,1 463,960,7036
Bollstabruk,Kramfors kommun,1 914,514,372,7432
Bondstorp,Vaggeryds kommun,216,56,386,1426
Bonäs,Mora kommun,367,96,382,6440
Bor,Värnamo kommun,1 276,164,778,1428
Borensberg,Motala kommun,3 003,277,1 084,1028
Borggård,Finspångs kommun,249,47,530,1032
Borgholm,Borgholms kommun,4 413,964,458,2132
Borgstena,Borås kommun,424,107,396,4748
Borlänge,Borlänge kommun,42 839,3 148,1 361,6444
Borrby,Simrishamns kommun,994,103,965,2820
Borås,Borås kommun,73 058,3 081,2 371,4752
Bosnäs,Borås kommun,435,100,435,4310
Botsmark,Umeå kommun,199,39,510,8136
Bottnaryd,Jönköpings kommun,725,85,853,1432
Bovallstrand,Sotenäs kommun,455,128,355,4312
Boxholm,Boxholms kommun,3 354,451,744,1040
Brantevik,Simrishamns kommun,370,87,425,2824
Brastad,Lysekils kommun,2 306,469,492,4316
Braås,Växjö kommun,1 753,150,1 169,1820
Bredared,Borås kommun,334,61,548,4756
Bredaryd,Värnamo kommun,1 546,220,703,1436
Bredbyn,Örnsköldsviks kommun,1 242,193,644,7444
Bredsand,Enköpings kommun,1 092,213,513,0612
Bredviken,Kalix kommun,365,57,640,8556
Bro,Upplands-Bro kommun,8 635,364,2 372,0112
Broaryd,Gislaveds kommun,314,70,449,1440
Broby,Östra Göinge kommun,3 229,378,854,2828
Brokind,Linköpings kommun,518,69,751,1044
Bromölla,Bromölla kommun,7 977,629,1 268,2832
Brottby,Vallentuna kommun,251,37,678,0116
Brunn,Värmdö kommun,1 273,198,643,0120
Brunna,Upplands-Bro kommun,3 953,224,1 765,0124
Brunnsberg,Älvdalens kommun,197,121,163,6448
Bruzaholm,Eksjö kommun,295,76,388,1444
Brålanda,Vänersborgs kommun,1 592,183,870,4760
Bräcke,Bräcke kommun,1 586,203,781,7816
Bräkne-Hoby,Ronneby kommun,1 718,241,713,2604
Brändön,Luleå kommun,333,93,358,8558
Brännland,Umeå kommun,339,63,538,8140
Brännäset och Boviken,Umeå kommun,250,270,93,8138
Brännö,Göteborgs kommun,897,193,465,4322
Brösarp,Tomelilla kommun,735,96,766,2836
Bua,Varbergs kommun,2 061,235,877,3912
Buerås,Kungsbacka kommun,757,91,832,3914
Bullmark,Umeå kommun,326,44,741,8142
Bunkeflostrand,Malmö kommun,13 380,476,2 811,3372
